time,RHip:X,RHip:Y,RHip:Z,RKnee:X,RKnee:Y,RKnee:Z,RAnkle:X,RAnkle:Y,RAnkle:Z,RFoot:X,RFoot:Y,RFoot:Z,LHip:X,LHip:Y,LHip:Z,LKnee:X,LKnee:Y,LKnee:Z,LAnkle:X,LAnkle:Y,LAnkle:Z,LFoot:X,LFoot:Y,LFoot:Z,Neck:X,Neck:Y,Neck:Z,Head:X,Head:Y,Head:Z,LShoulder:X,LShoulder:Y,LShoulder:Z,LElbow:X,LElbow:Y,LElbow:Z,LWrist:X,LWrist:Y,LWrist:Z,RShoulder:X,RShoulder:Y,RShoulder:Z,RElbow:X,RElbow:Y,RElbow:Z,RWrist:X,RWrist:Y,RWrist:Z
0,-0.1606063,0.06488917,1.002341,-0.1760617,0.08940925,0.5310382,-0.1867516,0.172579,0.06997712,-0.2255968,0.02373952,0.04206169,0.08560719,0.05596842,0.9727172,0.09940808,0.06929599,0.500913,0.1089875,0.1632438,0.04190276,0.1385881,0.01006982,0.03175027,-0.02905763,0.06807007,1.49402,-0.03350704,0.01694913,1.603106,0.1518486,0.09693834,1.488055,0.4388885,0.1168568,1.417223,0.6655658,0.01415065,1.408423,-0.2110968,0.08707967,1.484194,-0.5030013,0.1063718,1.437021,-0.7437723,0.04311849,1.430954
0.02,-0.1606116,0.06481704,1.002321,-0.1760744,0.08924832,0.5310144,-0.1868426,0.1726515,0.06999741,-0.2255016,0.02374957,0.04215702,0.08560538,0.05594675,0.9727125,0.09942722,0.06926076,0.5009086,0.108963,0.1632207,0.0418999,0.138545,0.0100416,0.0317692,-0.02913792,0.06798502,1.49401,-0.03360293,0.01693541,1.60313,0.1517804,0.09679945,1.488155,0.4388641,0.1166565,1.417484,0.6655161,0.01387662,1.408894,-0.211171,0.08701244,1.484107,-0.5030438,0.1063248,1.436746,-0.7437507,0.04284843,1.430467
0.04,-0.1606621,0.06464199,1.002321,-0.1760732,0.08903348,0.5310103,-0.1868477,0.1725623,0.07001618,-0.225646,0.02369835,0.04216586,0.08556101,0.0559322,0.9727148,0.09940565,0.06927433,0.5009124,0.1089643,0.1632112,0.04189947,0.1385444,0.01003187,0.03176694,-0.02920223,0.06785475,1.494014,-0.03367783,0.0168122,1.603136,0.1517189,0.09666229,1.488212,0.4388509,0.1164798,1.417726,0.6654196,0.01350289,1.409301,-0.2112245,0.08691659,1.483978,-0.5030662,0.1062825,1.436448,-0.7437088,0.0425803,1.429997
0.06,-0.1606901,0.0645437,1.002304,-0.1761211,0.08875339,0.530984,-0.1869697,0.1726838,0.0700646,-0.2257116,0.02381864,0.04214262,0.08553866,0.05589649,0.9727264,0.0994286,0.06930307,0.5009271,0.1089893,0.1632473,0.04191571,0.1385305,0.01006147,0.03176823,-0.02928013,0.06769943,1.494014,-0.03377919,0.01666967,1.603141,0.1516475,0.09648044,1.488282,0.4388355,0.1162234,1.418003,0.6652782,0.01296634,1.409618,-0.2112881,0.08684112,1.483872,-0.5030952,0.1061928,1.436124,-0.7436182,0.04205073,1.429572
0.08,-0.1607397,0.06436073,1.002336,-0.176183,0.08843128,0.5310099,-0.1869789,0.1728017,0.07016951,-0.2256495,0.02394361,0.04211125,0.08549039,0.05587725,0.9727219,0.09937865,0.0693159,0.5009234,0.1089584,0.1632206,0.04190437,0.1385516,0.01004336,0.0317787,-0.02937819,0.06755151,1.494031,-0.0338896,0.01653542,1.603164,0.1515578,0.09628062,1.488303,0.4388233,0.115902,1.418308,0.6651655,0.01243122,1.409849,-0.2113755,0.08674464,1.483796,-0.5031363,0.1060319,1.43574,-0.7434908,0.04127135,1.429091
0.1,-0.1607254,0.06427757,1.002353,-0.1762071,0.08832031,0.531027,-0.1870405,0.1729204,0.07022966,-0.2256049,0.02403877,0.04215035,0.08550609,0.05582322,0.9727426,0.09936204,0.06932099,0.5009449,0.1088922,0.1632088,0.0419213,0.138536,0.01004276,0.03177451,-0.0294893,0.06736746,1.494055,-0.03388607,0.01621122,1.603127,0.1514524,0.09605666,1.488306,0.4387808,0.1155702,1.418539,0.6649988,0.01183426,1.410005,-0.2114742,0.08661728,1.483706,-0.5031984,0.1058369,1.4354,-0.7433896,0.0404815,1.428669
0.12,-0.160763,0.0640585,1.002348,-0.1761951,0.08834586,0.5310323,-0.187102,0.1730344,0.07025295,-0.2255907,0.02414478,0.04211237,0.08547468,0.05576809,0.9727422,0.09938976,0.06929722,0.5009471,0.1088968,0.1632365,0.0419336,0.1385652,0.01007744,0.03175341,-0.0296034,0.06725962,1.494055,-0.03404783,0.01611674,1.603131,0.151352,0.09586941,1.488342,0.4387396,0.1152016,1.418769,0.664851,0.01124581,1.410081,-0.2115801,0.08654214,1.483622,-0.5032843,0.105558,1.435116,-0.7432971,0.03955694,1.428323
0.14,-0.1607875,0.06375033,1.002324,-0.1762174,0.08840127,0.5310273,-0.1871629,0.1730726,0.07024574,-0.2256327,0.02418957,0.0420441,0.08545908,0.05566646,0.9727359,0.09937634,0.06926058,0.5009428,0.1088496,0.1632163,0.04193195,0.1385319,0.01005883,0.03176786,-0.02970482,0.06712016,1.494041,-0.03421515,0.01598414,1.603118,0.1512602,0.09567644,1.488366,0.4387174,0.1147431,1.419008,0.664759,0.0106505,1.410144,-0.2116714,0.08643966,1.483503,-0.5033614,0.1052723,1.43484,-0.7431868,0.03860042,1.427978
0.16,-0.1608329,0.06335917,1.002315,-0.1762093,0.08847851,0.5310408,-0.1871469,0.173021,0.0702354,-0.2257063,0.02417656,0.04195298,0.08542002,0.05553342,0.9727094,0.09933387,0.06927206,0.5009204,0.1088543,0.1631985,0.04190452,0.138561,0.01004532,0.03174768,-0.0298075,0.06699394,1.494024,-0.03434053,0.01583517,1.603089,0.1511688,0.09548753,1.488393,0.4386945,0.1142968,1.419248,0.664684,0.01010979,1.410171,-0.2117714,0.08627834,1.483375,-0.5034488,0.104897,1.434554,-0.7430794,0.03752923,1.427683
0.18,-0.1608442,0.06320314,1.002293,-0.176217,0.08845925,0.5310267,-0.1871396,0.1728865,0.07019972,-0.2258662,0.02408983,0.04189434,0.08540914,0.05538845,0.9726888,0.09933224,0.06924502,0.5009034,0.1088443,0.1631848,0.04189018,0.1385409,0.01002798,0.03175847,-0.02987769,0.06684233,1.494004,-0.03447834,0.01567669,1.603064,0.1511022,0.09530895,1.488353,0.438691,0.1138619,1.419402,0.6646212,0.00956171,1.410148,-0.211833,0.0861439,1.483239,-0.5035021,0.1045415,1.434286,-0.7429373,0.03647304,1.42751
0.2,-0.160925,0.0628586,1.002268,-0.1762078,0.08848955,0.5310191,-0.1870247,0.1726717,0.07014486,-0.2260137,0.02394141,0.04185053,0.08533192,0.05516539,0.9726616,0.09935484,0.06921487,0.500885,0.1089161,0.1632159,0.04188525,0.1385611,0.01005007,0.03173897,-0.02995177,0.06669708,1.493977,-0.03456559,0.01553289,1.603036,0.1510352,0.09511334,1.488298,0.4386656,0.1135177,1.419481,0.6645167,0.009063763,1.410034,-0.211903,0.08599472,1.483136,-0.5035725,0.1041281,1.434086,-0.7428368,0.03546473,1.427275
0.22,-0.1609309,0.06264549,1.0022,-0.1761545,0.08853781,0.5309634,-0.1869366,0.1724297,0.07003539,-0.2261156,0.02373539,0.04181456,0.08532526,0.05482169,0.9726217,0.0993124,0.06921791,0.5008544,0.1089057,0.1631756,0.04184653,0.1385413,0.01000482,0.03174732,-0.030017,0.06655022,1.493921,-0.03467857,0.01539926,1.602985,0.1509751,0.09492781,1.488215,0.4386474,0.1131452,1.419523,0.6644968,0.008702025,1.409916,-0.2119684,0.08583774,1.483066,-0.5036379,0.1037568,1.433938,-0.7427291,0.03449134,1.427143
0.24,-0.1609818,0.06250624,1.002116,-0.1761099,0.08852356,0.5308834,-0.1867729,0.1722873,0.06992935,-0.2261957,0.023646,0.04176871,0.08527637,0.05453855,0.9725935,0.09929855,0.06920299,0.5008355,0.1089786,0.1632078,0.04183906,0.1385876,0.01003288,0.03172426,-0.03007081,0.06638979,1.493865,-0.03478634,0.01524238,1.602928,0.1509266,0.0947239,1.488109,0.4386235,0.1128666,1.4195,0.6644847,0.008456999,1.409805,-0.2120217,0.08568633,1.483018,-0.5036966,0.1033751,1.433838,-0.7425984,0.03345428,1.427092
0.26,-0.1609907,0.06243004,1.002071,-0.1761081,0.08865065,0.5308489,-0.1867032,0.1723161,0.06987536,-0.2262354,0.02372748,0.04159062,0.08525925,0.05422215,0.972545,0.09926931,0.06924008,0.5007978,0.109056,0.1632355,0.04180167,0.1385945,0.01004517,0.03171496,-0.03013712,0.06624145,1.493817,-0.03483107,0.01507,1.60287,0.1508643,0.09453804,1.488004,0.4385705,0.1126627,1.41943,0.6644596,0.008319265,1.409673,-0.2120908,0.0855306,1.483004,-0.5037744,0.1029731,1.433787,-0.7424992,0.0324396,1.42716
0.28,-0.160982,0.06227924,1.002066,-0.1761198,0.08879104,0.5308604,-0.1866695,0.1722713,0.06985228,-0.2262977,0.02370516,0.04158406,0.08526073,0.05393874,0.9725164,0.09924308,0.0692421,0.5007775,0.1091057,0.1632478,0.04178518,0.1385809,0.01004391,0.03171925,-0.03017996,0.06615012,1.493799,-0.03495155,0.01503289,1.602874,0.1508255,0.09441043,1.487935,0.4385277,0.1125547,1.419349,0.6644441,0.008274135,1.409553,-0.2121373,0.08541936,1.483011,-0.5038345,0.1026996,1.433818,-0.7424481,0.03178433,1.427259
0.3,-0.1609905,0.06214429,1.002032,-0.1761298,0.08899488,0.5308462,-0.1865997,0.1722187,0.06978992,-0.2264468,0.02368089,0.04168036,0.08523922,0.0534519,0.9724758,0.09921672,0.06915421,0.5007499,0.1091958,0.1632855,0.04178578,0.138571,0.01006338,0.03170403,-0.03027542,0.06600361,1.49376,-0.03502907,0.01486103,1.602823,0.1507256,0.09428412,1.487857,0.4383945,0.1124846,1.419146,0.6643714,0.008338613,1.409316,-0.2122385,0.08523867,1.483008,-0.5039641,0.1022641,1.433895,-0.7423788,0.03067002,1.427478
